,Title,Matched Model,Price,Location,Description,Link,Year,Brightness,ResResolution,Contrast,Technology,Audible Noise,Brightness_number,Resolution_width,Contrast_number
260,BenQ W600 Beamer,BenQ W600,200,13347 Gesundbrunnen,"~1000 Stunde in 10 Jahre benutzt (die Lampe soll noch ~1500 Stunde dauern).

- Max. Auflösung:...",https://www.kleinanzeigen.de//s-anzeige/benq-w600-beamer/2567503255-175-26763,Sep 2009,"2,600 lumens",1280x720 (HD),"3,000:1",DLP,"34, 31",2600,1280,3000.0
432,Acer X1230K Beamer,Acer X1230PS,55,13156 Niederschönhausen,"Acer X1230 DLP Projektor gebraucht, mit Kabel und Tasche.

Dieser Projektor wurde bereits wenige...",https://www.kleinanzeigen.de//s-anzeige/acer-x1230k-beamer/2356682917-175-26777,2009-12-01 00:00:00,"2,500 lumens",1024x768 (XGA),"3,000:1",DLP,"33, 28",2500,1024,3000.0
51,Samsung SP A600 DLP FullHD Beamer inkl. Deckenhalterung,Samsung SP-A600B,140,12435 Treptow,"Beamer funktioniert einwandfrei, da ich ihn aber seit meinem Umzug aufgrund der neuen Wohnung nicht...",https://www.kleinanzeigen.de//s-anzeige/samsung-sp-a600-dlp-fullhd-beamer-inkl-deckenhalterung/2603953645-175-3480,Sep 2009,"1,000 lumens",1920x1080 (HD),"3,000:1",2 cmDLP,,1000,1920,3000.0
399,Beamer/Projector - Acer XD1150,Acer XD1150,50,10967 Kreuzberg,"ACER XD1150 Beamer

Alt aber funktioniert. Keine HDMI Anschluss. Keine Ahnung wie viele Stunden die...",https://www.kleinanzeigen.de//s-anzeige/beamer-projector-acer-xd1150/2445223717-175-9630,,"1,800 lumens",800x600 (SVGA),"2,200:1",DLP,31,1800,800,2200.0
148,"Dell 2300MP DLP Projektor, Beamer",Dell 2300MP,80,10115 Mitte,Wenn Sie dieses hier lesen ist der o.g. Artikel noch nicht verkauft. Er ist also noch zu haben. Sie...,https://www.kleinanzeigen.de//s-anzeige/dell-2300mp-dlp-projektor-beamer/2591846267-175-9668,Sep 2004,"2,300 lumens",1024x768 (XGA),"2,100:1",DLP,"38, 34",2300,1024,2100.0
360,Toshiba TDP-T100 Beamer,Toshiba TDP-T100U,50,12055 Neukölln,Beamer Toshiba TDP-T100 Beamer in benutztem Zustand ohne Fernbedienung. Getestet und...,https://www.kleinanzeigen.de//s-anzeige/toshiba-tdp-t100-beamer/2510735597-175-3392,Apr 2006,"2,700 lumens",1024x768 (XGA),"2,000:1",1 cmDLP,"36, 33",2700,1024,2000.0
410,Projektor Diamond Lamp für Acer PD523 unbenutzt Beamer bulb,Acer PD523,70,10785 Tiergarten,"Projektor Diamond Lamp für Acer PD523 unbenutzt
Beamer bulb lamp
Unbenutzte in original...",https://www.kleinanzeigen.de//s-anzeige/projektor-diamond-lamp-fuer-acer-pd523-unbenutzt-beamer-bulb/2419055975-175-3498,Jan 2005,"2,400 lumens",1024x768 (XGA),"2,000:1",DLP,"31, 27",2400,1024,2000.0
83,NEC M230X Projector / Beamer,NEC M230X,100,12101 Tempelhof,"Inklusive Halterung und Kabel, um den Projector mit einem Laptop zu verbinden.",https://www.kleinanzeigen.de//s-anzeige/nec-m230x-projector-beamer/2600520699-175-3404,Apr 2014,"2,300 lumens",1024x768 (XGA),"2,000:1",2 cm3LCD,"34, 27",2300,1024,2000.0
208,Sharp Beamer XR-20X mit Koffer - ohne weiteres Zubehör,Sharp XR-20X,25,10249 Friedrichshain,Abholung wäre in Mitte Otto Braun Str möglich,https://www.kleinanzeigen.de//s-anzeige/sharp-beamer-xr-20x-mit-koffer-ohne-weiteres-zubehoer/2581943838-168-3351,Jul 2005,"2,300 lumens",1024x768 (XGA),"2,000:1",2 cmDLP,"33, 30",2300,1024,2000.0
276,Sharp Beamer XR-20X incl Koffer,Sharp XR-20X,50,10249 Friedrichshain,"Beamer wurde ausprobiert und funktioniert

Incl Fernbedienung und Kabel und Beschreibung

Abholung...",https://www.kleinanzeigen.de//s-anzeige/sharp-beamer-xr-20x-incl-koffer/2563747694-175-3351,Jul 2005,"2,300 lumens",1024x768 (XGA),"2,000:1",2 cmDLP,"33, 30",2300,1024,2000.0
272,Beamer Optoma DS302 DLP,Optoma DS306i,28,12107 Tempelhof,"Gebraucht
Wenige Lampenstunden
Ohne Fernbedienung",https://www.kleinanzeigen.de//s-anzeige/beamer-optoma-ds302-dlp/2564787707-175-3407,2009-04-01 00:00:00,"2,300 lumens",800x600 (SVGA),"2,000:1",1 cmDLP,30,2300,800,2000.0
136,Hochwertiger Mitsubishi XD500U Beamer günstig abzugeben!,Mitsubishi XD500U,110,12279 Marienfelde,"Hochwertiger Mitsubishi XD500U Beamer günstig abzugeben!

Verpassen Sie nicht die Gelegenheit,...",https://www.kleinanzeigen.de//s-anzeige/hochwertiger-mitsubishi-xd500u-beamer-guenstig-abzugeben-/2593043359-88-9638,Mar 2008,"2,200 lumens",1024x768 (XGA),"2,000:1",1 cmDLP,,2200,1024,2000.0
429,Beamer NEC LT245,NEC LT245,59,10435 Mitte,"Ich biete hier einen Beamer zur Abholung in Mitte.

- gebraucht, voll funktionsfähig,
- mit allen...",https://www.kleinanzeigen.de//s-anzeige/beamer-nec-lt245/2368774730-175-9520,Sep 2004,"2,200 lumens",1024x768 (XGA),"2,000:1",2 cmDLP,"32, 29",2200,1024,2000.0
310,Beamer Toshiba TDP-SP1,Toshiba TDP-SP1U,40,10247 Friedrichshain,"Dieser Beamer hat mir die besten Dienste erwiesen. Ich habe dazu noch das Netzteilkabel.
Das VGA...",https://www.kleinanzeigen.de//s-anzeige/beamer-toshiba-tdp-sp1/2555013530-175-3353,Jul 2008,"2,200 lumens",800x600 (SVGA),"2,000:1",1 cmDLP,"34, 30",2200,800,2000.0
426,Projektor / Beamer,Toshiba TDP-SP1U,25,12435 Treptow,Zu erwerben ist ein gebrauchter Projektor / Beamer von Toshiba TDP-SP1 mit Bedienungsanleitung...,https://www.kleinanzeigen.de//s-anzeige/projektor-beamer/2376920258-168-3480,Jul 2008,"2,200 lumens",800x600 (SVGA),"2,000:1",1 cmDLP,"34, 30",2200,800,2000.0
76,VGA Beamer InFocus X1a,InFocus X1a,25,10119 Mitte,"Ein gebrauchter Beamer, nur VGA und USB, kein hdmi.
Linke bildseite der projektionsfläche mit einem...",https://www.kleinanzeigen.de//s-anzeige/vga-beamer-infocus-x1a/2601126381-175-3519,Jul 2004,"1,100 lumens",800x600 (SVGA),"2,000:1",2 cmDLP,37,1100,800,2000.0
130,NEC NP50G Beamer,NEC NP50,30,13055 Hohenschönhausen,"Verkauft wird ein Beamer der Firma NEC, dazu gibt es eine praktische Transporttasche.

Der Nec DLP...",https://www.kleinanzeigen.de//s-anzeige/nec-np50g-beamer/2594621389-175-3358,Dec 2006,"2,600 lumens",1024x768 (XGA),"1,600:1",1 cmDLP,"40, 35",2600,1024,1600.0
443,NEC Beamer  Modell NP50G,NEC NP50,50,13591 Spandau,"Verkaufe einen Beamer der Marke NEC, der uns gute Dienste geleistet hat und jetzt durch einen...",https://www.kleinanzeigen.de//s-anzeige/nec-beamer-modell-np50g/2303346076-175-3434,Dec 2006,"2,600 lumens",1024x768 (XGA),"1,600:1",1 cmDLP,"40, 35",2600,1024,1600.0
222,Panasonic PT-AE500 Beamer + Tasche + Fernbedienung,Panasonic PT-AE500U,120,12057 Treptow,"Biete meinen gebrauchten
Panasonic PT-AE500

Der Beamer hat schon ein paar Jahre hinter sich, wurde...",https://www.kleinanzeigen.de//s-anzeige/panasonic-pt-ae500-beamer-tasche-fernbedienung/2578133648-175-3482,Jan 2004,850 lumens,1280x720 (HD),"1,300:1",2 cm3LCD,27,850,1280,1300.0
141,Beamer NEC Top Zustand,NEC TriDigital HD10K,85,12487 Treptow,"Biete euch einen sehr guten Beamer an
Der Beamer ist von NEC sehr gute Qualität
Der Beamer war nich...",https://www.kleinanzeigen.de//s-anzeige/beamer-nec-top-zustand/2592675964-168-3483,2002-03-01 00:00:00,"9,500 lumens",1280x1024 (SXGA),"1,200:1",2 cmDLP,50,9500,1280,1200.0
37,Beamer Sanyo PLV- Z 800,Sanyo PLV-80,180,14059 Westend,"Gepflegter Zustand.
Abholung in Berlin bevorzugt
Mit Deckenhalterung",https://www.kleinanzeigen.de//s-anzeige/beamer-sanyo-plv-z-800/2604971204-175-25911,Dec 2005,"3,000 lumens",1366x768 (WXGA),"1,000:1",3 cm3LCD,33,3000,1366,1000.0
